date,price_btc,ma7_btc,ma30_btc,price_eth,ma7_eth,ma30_eth
2025-06-04,105434.4774514497,105615.89341832092,104859.22889706044,2595.4689570063,2587.1117012137142,2469.12605571458
2025-06-05,104812.9182188067,105183.71254800739,105194.36538066884,2610.3431898283,2577.6939551248,2495.4706800458766
2025-06-06,101650.7387545425,104598.75856957342,105354.2389395483,2421.6011037635,2547.474226158343,2515.6517603585994
2025-06-07,104409.7496795914,104655.73430059699,105600.34746987908,2481.403983669,2541.3210474246143,2538.02132891662
2025-06-08,105681.4546141758,104797.72675557225,105687.1867718473,2526.2919958898,2540.4537917932857,2548.9790224688168
2025-06-09,105692.2474069901,104795.18982253825,105778.17700351619,2508.7841235846,2536.2329439572713,2554.55822782155
2025-06-10,110261.574859485,105420.45156929162,105965.86685551847,2685.0001850413,2546.984791254686,2557.935470484826
2025-06-11,110212.732521096,106103.05943638393,106173.15588566348,2808.5032083149,2577.418255727343,2567.969933736667
2025-06-12,108679.9760916168,106655.49627535681,106366.59407443066,2776.1371915822,2601.103113120757,2577.42696042016
2025-06-13,105979.2290237591,107273.85202810202,106426.41869546572,2653.1589684527,2634.1828080763567,2576.6442872643197
2025-06-14,106045.564408192,107507.53984647353,106508.12331737523,2577.0486175258,2647.846327198757,2575.75530489118
2025-06-15,105482.9061162892,107479.1757753469,106567.25847577698,2534.070219536,2648.957502005357,2575.4810891268203
2025-06-16,105554.4938306172,107459.4966930079,106633.87377213674,2547.845604092,2654.5377135064145,2575.5963746724333
2025-06-17,106951.2720181497,106986.59628710286,106758.50401144657,2561.3298435694,2636.8705218675714,2578.4722230124235
2025-06-18,104683.4247983572,106196.69518385445,106713.59691528727,2514.9867005761,2594.9395921906,2580.12708017783
2025-06-19,104722.695052907,105631.36932118163,106683.3728902386,2521.3334233965,2558.539053878357,2579.93853949467
2025-06-20,104690.6500245812,105447.28660701336,106613.50389244664,2522.1791903642,2539.827657008572,2579.8687010629897
2025-06-21,103290.105144757,105053.64956937978,106400.97860673013,2405.6954342132,2515.3486308210568,2574.7602077242
2025-06-22,101532.5683847329,104489.31560772889,106066.71898828307,2270.5819960556,2477.7074560381434,2561.8740261008334
2025-06-23,100852.5826464883,103817.61400999619,105854.58279087581,2227.4287266372,2431.933616401743,2552.1278566872365
2025-06-24,105511.6243793313,103611.95006159355,105777.2581453934,2423.8996442686,2412.3007307873427,2548.6097453552434
2025-06-25,105976.0692980845,103796.61356155461,105681.06677608144,2446.539301545,2402.522530925757,2545.2737181955067
2025-06-26,107238.5304501627,104156.01861830542,105609.76061999914,2417.2267855277,2387.6501540873574,2540.44218009179
2025-06-27,106984.0125377566,104483.64183447334,105540.2791396239,2415.0318648766,2372.3433933034144,2532.20677369354
2025-06-28,107078.9156064407,105024.90047185672,105514.97018280519,2423.0302896732,2374.8198012262715,2523.7655362676232
2025-06-29,107331.5854846358,105853.33148612855,105567.84247884038,2437.1330017802,2398.6128020440715,2517.23199610934
2025-06-30,108396.6163131789,106931.05058137006,105714.03237053212,2502.6672721177,2437.932594255571,2516.505030686427
2025-07-01,107132.799107019,107162.64697103974,105795.54209312114,2488.1907816898,2447.1170424586003,2515.032630565783
2025-07-02,105613.3997416306,107110.83703440346,105792.32188656788,2405.10455928,2441.1977935636,2510.5917805938934
2025-07-03,108824.4442316794,107337.39614604872,105890.31193988348,2574.0677184951,2463.6036411303717,2509.4027960784165
2025-07-04,109602.2048391402,107711.42361767494,106029.23618613982,2590.1322315902,2488.617979232314,2509.224905231213
2025-07-05,108040.8919400104,107848.84880818489,106136.83531017996,2509.2363457834,2500.9331301052002,2505.854677096383
2025-07-06,108217.4684999243,107975.40352465468,106355.72630169267,2517.3791783506,2512.3968696152574,2509.0472795826204
2025-07-07,109215.1977184028,108092.34372540096,106515.90790298638,2571.358192116,2522.2098581864425,2512.04575319752
2025-07-08,108300.7167578503,108259.18910409114,106603.21664110888,2543.6317028067,2530.129989774571,2512.6237434280833
